"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","plantedSeedlotStockDbId","plantedSeedlotStockUniquename","plantedSeedlotCurrentCount","plantedSeedlotCurrentWeightGram","plantedSeedlotBoxName","plantedSeedlotTransactionCount","plantedSeedlotTransactionWeight","plantedSeedlotTransactionDescription","availableGermplasmSeedlotUniquenames","Chalk impact|LSU_01:0000108","Chalky seeds|LSU_01:0000107","Days to heading|LSU_01:0000130","Emergence date|LSU_01:0000128","Grain length average|LSU_01:0000102","Grain length-width ratio average|LSU_01:0000105","Grain thickness average|LSU_01:0000104","Grain whiteness average|LSU_01:0000106","Grain width average|LSU_01:0000103","Harvest moisture|LSU_01:0000136","Harvest weight|LSU_01:0000137","Heading date|LSU_01:0000129","Plant height|LSU_01:0000132","Plot stand2|LSU_01:0000134","Plot stand|LSU_01:0000133","Ratoon moisture|LSU_01:0000139","Ratoon weight|LSU_01:0000140","Ratoon yield|LSU_01:0000141","Seedling vigor|LSU_01:0000131","Total milling percentage|LSU_01:0000101","Whole milling percentage|LSU_01:0000100","Yield|LSU_01:0000138","notes"
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","50518","182L1001","","plot","123842","18CLPY001","1","1","1","1","1","test","","","","","","","","","","","","","96","82","","","","","","23.88","4.27","178","91","40","100","","","","5","","","2556",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","45011","182L1002","","plot","123142","18CLPY002","1","1","2","1","2","test","","","","","","","","","","","14.15","8.7","98","83","6.46","","","","2.2","23.77","5.1","181","90","30","100","","","","5","64.62","52.9","3053",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","55021","182L1003","","plot","124154","18CLPY003","1","1","3","1","3","test","","","","","","","","","","","","","98","87","","","","","","1.31","","185","76","100","0","","","","8","","","318",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","42470","182L1004","","plot","124084","18CLPY004","1","1","4","1","4","test","","","","","","","","","","","17.01","12.4","96","82","6.67","","","","2.16","24.97","7.9","178","83","50","20","","","","5","65.91","56.78","4658",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","45304","182L1005","","plot","123646","18CLPY005","1","1","5","1","5","test","","","","","","","","","","","15.95","13.1","98","83","6.51","","","","2.2","24.58","4.94","181","96","40","20","","","","5","63.41","53.24","2925",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","46366","182L1006","","plot","123937","18CLPY006","1","1","6","1","6","test","","","","","","","","","","","16.06","11.5","96","83","6.52","","","","2.21","20.78","6.26","179","93","40","100","","","","5","69.42","61.71","3896",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","58967","182L1007","","plot","124347","18CLPY007","1","1","7","1","7","test","","","","","","","","","","","16.47","8","90","83","6.31","","","","2.4","19.89","11.77","173","94","60","30","","","","4","70.22","63.61","7407",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","52821","182L1008","","plot","123375","18CLPY008","1","1","8","1","8","test","","","","","","","","","","","15.31","8.8","92","83","6.5","","","","2.32","21","10.56","175","92","60","30","","","","5","70.5","63.48","6556",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","57883","182L1009","","plot","124158","18CLPY009","1","1","9","1","9","test","","","","","","","","","","","","","92","83","","","","","","18.67","10.18","175","84","60","30","","","","5","","","6506",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","57389","182L1010","","plot","123460","18CLPY010","1","1","10","1","10","test","","","","","","","","","","","","","93","82","","","","","","20.43","12.1","175","80","70","40","","","","5","","","7564",""
