Set,Tier,Row numbers,order,Line Name,Line #,row/env,accession,population.x,grain_class.x,herbicide_class.x,pedigree.x,Full Pedigree
17,1-2,42001-42150,226,19T-028-8,8,2,19T_028_P19_H01,19T-028,Long,Clearfield,RU1902122/RU1902142,CHNR/6/CPRS/KBNT//9502008/5/KATY/CPRS//NWBT/KATY/3/9502008/4/CLR9/7/9502008/DREW//CLR20/4/9502008//AR1188/CCDR/3/CPRS/KBNT//9502008
17,1-2,42001-42150,156,19T-028-10,10,2,19T_028_P19_B02,19T-028,Long,Clearfield,RU1902122/RU1902142,CHNR/6/CPRS/KBNT//9502008/5/KATY/CPRS//NWBT/KATY/3/9502008/4/CLR9/7/9502008/DREW//CLR20/4/9502008//AR1188/CCDR/3/CPRS/KBNT//9502008
17,1-2,42001-42150,192,19T-028-13,13,2,19T_028_P19_E02,19T-028,Long,Clearfield,RU1902122/RU1902142,CHNR/6/CPRS/KBNT//9502008/5/KATY/CPRS//NWBT/KATY/3/9502008/4/CLR9/7/9502008/DREW//CLR20/4/9502008//AR1188/CCDR/3/CPRS/KBNT//9502008
17,1-2,42001-42150,217,19T-028-23,23,2,19T_028_P19_G03,19T-028,Long,Clearfield,RU1902122/RU1902142,CHNR/6/CPRS/KBNT//9502008/5/KATY/CPRS//NWBT/KATY/3/9502008/4/CLR9/7/9502008/DREW//CLR20/4/9502008//AR1188/CCDR/3/CPRS/KBNT//9502008
17,1-2,42001-42150,228,19T-028-24,24,2,19T_028_P19_H03,19T-028,Long,Clearfield,RU1902122/RU1902142,CHNR/6/CPRS/KBNT//9502008/5/KATY/CPRS//NWBT/KATY/3/9502008/4/CLR9/7/9502008/DREW//CLR20/4/9502008//AR1188/CCDR/3/CPRS/KBNT//9502008
17,1-2,42001-42150,146,19T-028-25,25,2,19T_028_P19_A04,19T-028,Long,Clearfield,RU1902122/RU1902142,CHNR/6/CPRS/KBNT//9502008/5/KATY/CPRS//NWBT/KATY/3/9502008/4/CLR9/7/9502008/DREW//CLR20/4/9502008//AR1188/CCDR/3/CPRS/KBNT//9502008
17,1-2,42001-42150,158,19T-028-26,26,2,19T_028_P19_B04,19T-028,Long,Clearfield,RU1902122/RU1902142,CHNR/6/CPRS/KBNT//9502008/5/KATY/CPRS//NWBT/KATY/3/9502008/4/CLR9/7/9502008/DREW//CLR20/4/9502008//AR1188/CCDR/3/CPRS/KBNT//9502008
17,1-2,42001-42150,170,19T-028-27,27,2,19T_028_P19_C04,19T-028,Long,Clearfield,RU1902122/RU1902142,CHNR/6/CPRS/KBNT//9502008/5/KATY/CPRS//NWBT/KATY/3/9502008/4/CLR9/7/9502008/DREW//CLR20/4/9502008//AR1188/CCDR/3/CPRS/KBNT//9502008
17,1-2,42001-42150,182,19T-028-28,28,2,19T_028_P19_D04,19T-028,Long,Clearfield,RU1902122/RU1902142,CHNR/6/CPRS/KBNT//9502008/5/KATY/CPRS//NWBT/KATY/3/9502008/4/CLR9/7/9502008/DREW//CLR20/4/9502008//AR1188/CCDR/3/CPRS/KBNT//9502008
17,1-2,42001-42150,194,19T-028-29,29,2,19T_028_P19_E04,19T-028,Long,Clearfield,RU1902122/RU1902142,CHNR/6/CPRS/KBNT//9502008/5/KATY/CPRS//NWBT/KATY/3/9502008/4/CLR9/7/9502008/DREW//CLR20/4/9502008//AR1188/CCDR/3/CPRS/KBNT//9502008
17,1-2,42001-42150,206,19T-028-30,30,2,19T_028_P19_F04,19T-028,Long,Clearfield,RU1902122/RU1902142,CHNR/6/CPRS/KBNT//9502008/5/KATY/CPRS//NWBT/KATY/3/9502008/4/CLR9/7/9502008/DREW//CLR20/4/9502008//AR1188/CCDR/3/CPRS/KBNT//9502008
17,1-2,42001-42150,218,19T-028-31,31,2,19T_028_P19_G04,19T-028,Long,Clearfield,RU1902122/RU1902142,CHNR/6/CPRS/KBNT//9502008/5/KATY/CPRS//NWBT/KATY/3/9502008/4/CLR9/7/9502008/DREW//CLR20/4/9502008//AR1188/CCDR/3/CPRS/KBNT//9502008
17,1-2,42001-42150,159,19T-028-34,34,2,19T_028_P19_B05,19T-028,Long,Clearfield,RU1902122/RU1902142,CHNR/6/CPRS/KBNT//9502008/5/KATY/CPRS//NWBT/KATY/3/9502008/4/CLR9/7/9502008/DREW//CLR20/4/9502008//AR1188/CCDR/3/CPRS/KBNT//9502008
17,1-2,42001-42150,183,19T-028-36,36,2,19T_028_P19_D05,19T-028,Long,Clearfield,RU1902122/RU1902142,CHNR/6/CPRS/KBNT//9502008/5/KATY/CPRS//NWBT/KATY/3/9502008/4/CLR9/7/9502008/DREW//CLR20/4/9502008//AR1188/CCDR/3/CPRS/KBNT//9502008
17,1-2,42001-42150,195,19T-028-37,37,2,19T_028_P19_E05,19T-028,Long,Clearfield,RU1902122/RU1902142,CHNR/6/CPRS/KBNT//9502008/5/KATY/CPRS//NWBT/KATY/3/9502008/4/CLR9/7/9502008/DREW//CLR20/4/9502008//AR1188/CCDR/3/CPRS/KBNT//9502008
17,1-2,42001-42150,148,19T-028-41,41,2,19T_028_P19_A06,19T-028,Long,Clearfield,RU1902122/RU1902142,CHNR/6/CPRS/KBNT//9502008/5/KATY/CPRS//NWBT/KATY/3/9502008/4/CLR9/7/9502008/DREW//CLR20/4/9502008//AR1188/CCDR/3/CPRS/KBNT//9502008
17,1-2,42001-42150,184,19T-028-44,44,2,19T_028_P19_D06,19T-028,Long,Clearfield,RU1902122/RU1902142,CHNR/6/CPRS/KBNT//9502008/5/KATY/CPRS//NWBT/KATY/3/9502008/4/CLR9/7/9502008/DREW//CLR20/4/9502008//AR1188/CCDR/3/CPRS/KBNT//9502008
17,1-2,42001-42150,208,19T-028-46,46,2,19T_028_P19_F06,19T-028,Long,Clearfield,RU1902122/RU1902142,CHNR/6/CPRS/KBNT//9502008/5/KATY/CPRS//NWBT/KATY/3/9502008/4/CLR9/7/9502008/DREW//CLR20/4/9502008//AR1188/CCDR/3/CPRS/KBNT//9502008
17,1-2,42001-42150,231,19T-028-48,48,2,19T_028_P19_H06,19T-028,Long,Clearfield,RU1902122/RU1902142,CHNR/6/CPRS/KBNT//9502008/5/KATY/CPRS//NWBT/KATY/3/9502008/4/CLR9/7/9502008/DREW//CLR20/4/9502008//AR1188/CCDR/3/CPRS/KBNT//9502008
17,1-2,42001-42150,149,19T-028-49,49,2,19T_028_P19_A07,19T-028,Long,Clearfield,RU1902122/RU1902142,CHNR/6/CPRS/KBNT//9502008/5/KATY/CPRS//NWBT/KATY/3/9502008/4/CLR9/7/9502008/DREW//CLR20/4/9502008//AR1188/CCDR/3/CPRS/KBNT//9502008
17,1-2,42001-42150,232,19T-028-56,56,2,19T_028_P19_H07,19T-028,Long,Clearfield,RU1902122/RU1902142,CHNR/6/CPRS/KBNT//9502008/5/KATY/CPRS//NWBT/KATY/3/9502008/4/CLR9/7/9502008/DREW//CLR20/4/9502008//AR1188/CCDR/3/CPRS/KBNT//9502008
17,1-2,42001-42150,222,19T-028-63,63,2,19T_028_P19_G08,19T-028,Long,Clearfield,RU1902122/RU1902142,CHNR/6/CPRS/KBNT//9502008/5/KATY/CPRS//NWBT/KATY/3/9502008/4/CLR9/7/9502008/DREW//CLR20/4/9502008//AR1188/CCDR/3/CPRS/KBNT//9502008
17,1-2,42001-42150,151,19T-028-65,65,2,19T_028_P19_A09,19T-028,Long,Clearfield,RU1902122/RU1902142,CHNR/6/CPRS/KBNT//9502008/5/KATY/CPRS//NWBT/KATY/3/9502008/4/CLR9/7/9502008/DREW//CLR20/4/9502008//AR1188/CCDR/3/CPRS/KBNT//9502008
