Unique_ID,Row_No,Set #,21 Set ID,Tier,Line_Name,SOURCE,Pop_INC_ID,Pedigree,Full_Pedigree,21 GEN,HT,Grain_Class,Grain_Type,Row_Type,Row,Note,Days_to_50%_heading,Plant_height(cm),
21PRow-40001,21-40001,16,PV5,1,19T-262-1,20-13501,19T-262,CTHL/PVL03,CTHL//PVL01/CTHL,F4,PV,Long,LG,P-Row,1,,89,107,
21PRow-40002,21-40002,16,PV5,1,19T-262-2,20-13501,19T-262,CTHL/PVL03,CTHL//PVL01/CTHL,F4,PV,Long,LG,P-Row,1,,89,107,
21PRow-40003,21-40003,16,PV5,1,19T-262-3,20-13501,19T-262,CTHL/PVL03,CTHL//PVL01/CTHL,F4,PV,Long,LG,P-Row,1,,88,118,
21PRow-40004,21-40004,16,PV5,1,19T-262-4,20-13501,19T-262,CTHL/PVL03,CTHL//PVL01/CTHL,F4,PV,Long,LG,P-Row,1,,88,110,
21PRow-40005,21-40005,16,PV5,1,19T-262-5,20-13501,19T-262,CTHL/PVL03,CTHL//PVL01/CTHL,F4,PV,Long,LG,P-Row,1,,85,111,Not included in the marker data
21PRow-40006,21-40006,16,PV5,1,19T-262-6,20-13501,19T-262,CTHL/PVL03,CTHL//PVL01/CTHL,F4,PV,Long,LG,P-Row,1,,85,110,
21PRow-40007,21-40007,16,PV5,1,19T-262-7,20-13501,19T-262,CTHL/PVL03,CTHL//PVL01/CTHL,F4,PV,Long,LG,P-Row,1,,91,104,
21PRow-40008,21-40008,16,PV5,1,19T-262-8,20-13501,19T-262,CTHL/PVL03,CTHL//PVL01/CTHL,F4,PV,Long,LG,P-Row,1,,89,NA,
21PRow-40009,21-40009,16,PV5,1,19T-262-9,20-13501,19T-262,CTHL/PVL03,CTHL//PVL01/CTHL,F4,PV,Long,LG,P-Row,1,,88,108,
21PRow-40010,21-40010,16,PV5,1,19T-262-10,20-13501,19T-262,CTHL/PVL03,CTHL//PVL01/CTHL,F4,PV,Long,LG,P-Row,1,,88,114,
21PRow-40011,21-40011,16,PV5,1,19T-262-11,20-13501,19T-262,CTHL/PVL03,CTHL//PVL01/CTHL,F4,PV,Long,LG,P-Row,1,,87,111,
21PRow-40012,21-40012,16,PV5,1,19T-262-12,20-13501,19T-262,CTHL/PVL03,CTHL//PVL01/CTHL,F4,PV,Long,LG,P-Row,1,,92,103,
21PRow-40013,21-40013,16,PV5,1,19T-262-13,20-13501,19T-262,CTHL/PVL03,CTHL//PVL01/CTHL,F4,PV,Long,LG,P-Row,1,,87,NA,
21PRow-40014,21-40014,16,PV5,1,19T-262-14,20-13501,19T-262,CTHL/PVL03,CTHL//PVL01/CTHL,F4,PV,Long,LG,P-Row,1,,90,105,
21PRow-40015,21-40015,16,PV5,1,19T-262-15,20-13501,19T-262,CTHL/PVL03,CTHL//PVL01/CTHL,F4,PV,Long,LG,P-Row,1,,85,NA,
